Molecular_weight MW (g/mol),pKa,Log P,Log S,Polar Surface Area (Å2),Polarizability (Å3),HOMO (eV),LUMO (eV),Electronegativity (eV), ΔN_Fe ,IE EXP (%),IE ARX (%),IE GBR POLY 60 40 2 (%),IE CatBoost POLY 60 40 2 (%),IE Random Forest 70 30 (%)
281.35,7.7,2.52,-3,47.86,31.37,-5.158,-1.662,3.41,1.026887872,NaN,88.94097612,90.86567337,90.8872235,92.31618211
790,9.96,4.95,-5,189.36,86.08,-5.841,-3.259,4.55,0.94887684,NaN,92.77994827,90.2784267,90.13887655,91.10217061
477.6,8.2,-3.1,-1.6,199.73,51.92,-5.503,4.859,0.322,0.64447018,84.65,87.12946466,84.77519922,84.77519922,85.83114058
196.16,3.6,-3.4,-0.09,138.45,138.45,-6.756,-1.177,3.9665,0.543735436,NaN,87.57738217,94.90000341,95.55222645,88.87076486
194.14,3.2,-2.57,0.18,127.45,16.32,-6.441,-1.125,3.783,0.605154251,NaN,86.24611356,92.15931918,91.80105135,87.20940256
217.26,11.8,1.9,-2.34,46.17,23.15,-6.448,-2.006,4.227,0.624268348,NaN,90.54065042,87.03293122,87.26643089,83.88230032
198.31,11.9,0.74,-2,67.64,23.67,-4.67,0.519,2.0755,0.949026787,NaN,85.97165696,87.56832684,87.18062092,85.32325559
207.23,12.3,0.42,-2.2,80.36,21.58,-5.332,-1.212,3.272,0.904854369,NaN,89.58968541,87.5085971,86.7629492,85.84708626
369.4,7.8,1.58,3.1,65.07,65.07,-5.348,-1.528,3.438,0.932460733,NaN,87.94588044,93.06026142,92.67098447,90.10571374
261.36,9.1,3.9,-4.4,38.33,30.29,-5.515,-2.531,4.023,0.997654155,NaN,91.40879691,92.14302462,92.15683204,93.15141917
236.27,8.3,1.98,-2.74,66.48,66.48,-6.321,-2.29,4.3055,0.668444555,NaN,88.55112532,88.80194798,89.21766849,89.25128243
299.4,8.9,1.96,-2.6,38.77,32.05,-5.316,-1.586,3.451,0.951474531,NaN,88.76859414,92.72828948,92.65530712,91.57762939
362.5,12.59,1.61,-2.97,94.83,39.45,-5.803,-2.575,4.189,0.870817844,NaN,91.93731601,89.36991198,89.22059278,90.85700319
285.34,8.15,1.62,-1.8,49.77,30.02,-5.315,-1.487,3.401,0.940177638,NaN,88.09479802,91.12224971,91.12326452,89.98751757
111.1451,14.46,-0.7,0.18,54.7,12.08,-5.549,-0.315,2.932,0.777225831,95.6,89.6873382,83.06488014,83.92101279,85.81687859
206.28,5.2,3.97,-3.5,37.3,23.76,-6.284,-1.57,3.927,0.651887993,NaN,86.76822036,84.10808238,84.15606556,85.75099617
68.08,7,-0.08,0.9,28.68,6.56,-5.805,-0.375,3.09,0.720073665,89,86.39396833,89.06881206,89.06881206,89.10020447
280.4,9.5,4.8,-3.6,6.48,33.39,-4.886,-1.443,3.1645,1.113999419,NaN,90.24517725,94.32798012,94.41270842,93.26335591
281.3,5.8,2.86,-3.3,57.61,30.24,-5.758,-2.669,4.2135,0.902071868,NaN,88.8228092,92.39197608,91.71456865,93.5325508
347.5,7.7,3.19,-4.6,48.13,40.72,-5.138,-2.114,3.626,1.115740741,NaN,91.19260193,92.75350251,92.67356336,91.1603476
231.25,10.4,1.43,-3,67.16,24.51,-5.76,-2.18,3.97,0.846368715,NaN,89.95927374,87.40465606,86.4360952,91.00283195
137.14,1.82,-0.7,0.01,68.01,13.21,-6.088,-2.67,4.379,0.766822703,75.4,85.59810328,87.40758405,87.34318868,88.7273131
211.26,9.81,1.4,-1.6,72.72,23.04,-5.468,-1.325,3.3965,0.869780352,NaN,88.37446093,89.41299761,88.8889618,87.77086901
301.4,9.65,2.56,-3.8,-3.8,34.12,-5.771,-1.512,3.6415,0.788565391,NaN,88.48392108,88.52148231,90.65925098,90.55694696
484.5,7.2,-7.1,-0.72,282.61,47.57,-5.852,4.514,0.669,0.610746672,90.96,88.66747123,91.01302323,91.01302323,89.40267732
197.19,2.32,0.05,-1.8,103.78,18.91,-5.861,-1.714,3.7875,0.774656378,NaN,84.84576705,76.53480336,74.83476478,87.09392013
328.5,9.2,4.68,-4.8,15.71,36.77,-4.659,-1.484,3.0715,1.237322835,NaN,91.8165787,93.83607776,93.62254467,92.39753482
257.37,8.9,2.9,-3.2,23.47,29.84,-5.007,-1.357,3.182,1.046027397,NaN,89.00136562,95.23686505,95.14225048,94.4599361
234.3373,7.9,2.44,-1.76,32.34,27.77,-5.554,-1.441,3.4975,0.851568198,NaN,87.51181616,91.60110605,92.33830119,92.66058914
406.5,7.5,-0.32,-1.1,122.49,43.72,-5.41,-0.556,2.983,0.827564895,NaN,85.99724031,87.96164141,87.67858896,90.05718339
167.29,11.2,2.37,-3.1,12.03,20.74,-5.424,5.057,0.1835,0.650367331,NaN,88.32048452,86.89445623,86.50266792,84.1276262
241.28,4.3,5.12,-3.78,49.33,49.33,-5.44,-2.483,3.9615,1.027561718,95,89.15006254,95.01230092,95.01230092,94.33938275
163.26,10.3,2.52,-2.6,12.03,19.79,-5.584,-1.366,3.475,0.835704125,NaN,88.64209563,95.24730049,95.28527212,86.86226198
247.33,8.7,2.72,-1.89,29.54,28.09,-5.245,-1.577,3.411,0.978462377,NaN,88.84345372,94.38390674,95.13981801,93.52369649
246.35,7.6,1.95,-1.55,32.34,28.61,-5.562,-1.456,3.509,0.850219191,NaN,87.37376854,93.73127981,93.73127981,91.84563578
152.18,7.8,0.01,-2.3,53.07,14.04,-5.031,-2.833,3.932,1.395814377,NaN,98.66156267,91.7062593,91.48701837,87.98943387
211.26,8.84,0.21,-1.5,72.72,23.12,-5.724,-1.274,3.499,0.786741573,NaN,87.77443236,86.00194981,86.00194981,87.4463099
309.4,8.3,3.93,-4.7,20.31,36.29,-4.983,-1.79,3.3865,1.131694331,NaN,90.80995198,93.49310473,93.28700651,92.56762875
149.23,9.5,2.07,-2.2,12.03,18.04,-5.605,-1.37,3.4875,0.829397875,NaN,88.21985448,90.16215907,92.42317415,88.35580831
261.39,8.85,2.87,-2.64,19.37,29.54,-5.076,-1.696,3.386,1.069230769,NaN,90.07990572,95.69437057,95.72868168,94.09734505
250.29,2.5,3.17,-3.8,32.67,27.32,-5.894,-2.207,4.0505,0.799972878,NaN,85.58135212,90.6636422,90.62949485,89.30880575
198.22,8.2,1.15,1.15,1.15,19.6,-6.581,-2.33,4.4555,0.598565044,NaN,88.78940576,95.57537298,96.34038602,88.41780831
