Molecular_weight MW (g/mol),pKa,Log P,Log S,Polar Surface Area (Å2),Polarizability (Å3),HOMO (eV),LUMO (eV),Electronegativity (eV), ΔN_Fe ,IE EXP (%),IE% Prediction GBR POLY 60:40,IE% Prediction catBost POLY 60:40,Random Forest 70:30
318.3,9.7,2.41,-4.5,66.76,32.65,-6.067,-2.601,4.334,0.769186382,84.67,84.70016218,84.70016218,86.43176
242.27,4.5,3.65,-3.5,46.53,25.3,-5.942,-1.819,3.8805,0.756609265,,81.43716792,81.17631662,89.14508
,10.1,2.08,-2.3,26.02,17.87,-6.029,-1.381,3.705,0.708907057,,86.48689283,86.91752284,87.48944
166.22,6.9,1.25,-1.4,47.28,18.67,-5.695,-1.413,3.554,0.804764129,,86.81472639,87.88892025,89.1909
281.35,7.7,2.52,-3,47.86,31.37,-5.158,-1.662,3.41,1.026887872,,90.78695408,90.80871276,92.2515
790,9.96,4.95,-5,189.36,86.08,-5.841,-3.259,4.55,0.94887684,,90.19402438,90.05312375,91.02574
477.6,8.2,-3.1,-1.6,199.73,51.92,-5.503,4.859,0.322,0.64447018,84.65,84.63753986,84.63753986,85.7037
"196,16",3.6,-3.4,-0.09,138.45,138.45,-6.756,-1.177,3.9665,0.543735436,,94.86032602,95.5188609,88.77274
194.14,3.2,-2.57,0.18,127.45,16.32,-6.441,-1.125,3.783,0.605154251,,92.09311904,91.73138411,87.0953
217.26,11.8,1.9,-2.34,46.17,23.15,-6.448,-2.006,4.227,0.624268348,,86.91712088,87.15288023,83.736
198.31,11.9,0.74,-2,67.64,23.67,-4.67,0.519,2.0755,0.949026787,,87.45769774,87.06623983,85.1909
207.23,12.3,0.42,-2.2,80.36,21.58,-5.332,-1.212,3.272,0.904854369,,87.39738998,86.64452613,85.7198
369.4,7.8,"1,58",3.1,65.07,65.07,-5.348,-1.528,3.438,0.932460733,,93.00278007,92.60973593,90.01964
261.36,9.1,3.9,-4.4,38.33,30.29,-5.515,-2.531,4.023,0.997654155,,92.0766668,92.09060784,93.09482
236.27,8.3,1.98,-2.74,66.48,66.48,-6.321,-2.29,4.3055,0.668444555,,88.70325715,89.12300076,89.15694
299.4,8.9,1.96,-2.6,38.77,32.05,-5.316,-1.586,3.451,0.951474531,,92.66759551,92.59390687,91.5058
362.5,12.59,1.61,-2.97,94.83,39.45,-5.803,-2.575,4.189,0.870817844,,89.27671758,89.12595335,90.7782
285.34,8.15,1.62,-1.8,49.77,30.02,-5.315,-1.487,3.401,0.940177638,,91.04601342,91.04703805,89.9003
111.1451,14.46,-0.7,0.18,54.7,12.08,-5.549,-0.315,2.932,0.777225831,95.6,82.91066931,83.7750871,85.6893
206.28,5.2,3.97,-3.5,37.3,23.76,-6.284,-1.57,3.927,0.651887993,,83.96396704,84.01241458,85.62278
